 ,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15,doc16,doc17,doc18,doc19,doc20,
doc11,0.041555789766491005,0.06470011737250167,0.06551779444431886,0.12796731659567917,0.09830675821433617,0.04753933611709023,0.07585640241755084,0.06360514262345386,0.04833000755810801,0.09204808887872645,1.0,0.024638539514283662,0.04644875564834448,0.04044122280825507,0.057140029598710666,0.07971616759934666,0.046232364753566145,0.09736037674841386,0.046858289313734446,0.3055828969798965,
doc12,0.006276770129559766,0.013687048126028245,0.01598949253611699,0.02110418133856861,0.017500937012462733,0.011131664242267074,0.010481141840597275,0.006404549840868992,0.01057056215664392,0.007044090660626433,0.024638539514283662,0.9999999999999999,0.01902878298469079,0.016261481608460537,0.018122908705340217,0.010378596652418557,0.010803495105508352,0.01501804231736858,0.020219668874186254,0.0687988922338694,
doc13,0.04448391623719279,0.05747157473118806,0.09804720489780497,0.08386540050279788,0.08517869552861149,0.20307862503649554,0.06809382199600417,0.09246164030105565,0.036411100210632485,0.03420226199922138,0.04644875564834448,0.01902878298469079,1.0,0.06241887866202334,0.08417082695691674,0.033408590256721896,0.04649216811222195,0.06675234040365123,0.0134774379126737,0.035428097847007824,
doc14,0.045905569389049376,0.16814993794054411,0.0714256778133559,0.06008890267545535,0.06775057804284768,0.07819805221246742,0.060018852926559355,0.04269635191153932,0.04671506861203281,0.02745131926080989,0.04044122280825507,0.016261481608460537,0.06241887866202334,1.0,0.06647822647535968,0.03622329136777666,0.053759198159092164,0.05112206436141373,0.015190737947726816,0.028491987835019484,
doc15,0.04445398393270838,0.05067268655850151,0.11804697596111777,0.17678503728681488,0.12341164190957839,0.11319730668307303,0.05421495932711721,0.17297326227288023,0.06339226162297443,0.061636057832535986,0.057140029598710666,0.018122908705340217,0.08417082695691674,0.06647822647535968,1.0,0.0835078601615183,0.06624297685155224,0.04412552855762719,0.013741665600310132,0.02361898407778581,
doc16,0.03494310609389778,0.055722700426076896,0.06720909536632456,0.040332212117957046,0.09261245412075925,0.05434971247441983,0.12295919633910159,0.021668292312606318,0.04867301645223377,0.01733280952079044,0.07971616759934666,0.010378596652418557,0.033408590256721896,0.03622329136777666,0.0835078601615183,0.9999999999999999,0.04764755873166991,0.04395631028393792,0.029059287251566274,0.03424090136596537,
doc17,0.06075076226362565,0.14145495609348732,0.0507372391198518,0.025379082115959163,0.04076180008046216,0.04608859784144328,0.08194462568092697,0.03930471585825523,0.9312580179873576,0.012321753916696694,0.046232364753566145,0.010803495105508352,0.04649216811222195,0.053759198159092164,0.06624297685155224,0.04764755873166991,0.9999999999999999,0.05520475605164178,0.020188742016044127,0.022021756603491288,
doc18,0.031402573602538716,0.0654374748739964,0.08922433655779552,0.06873257423417216,0.04658426742483278,0.08913073197544986,0.09204439173361964,0.037854705982272814,0.05428256542367752,0.035102740585841126,0.09736037674841386,0.01501804231736858,0.06675234040365123,0.05112206436141373,0.04412552855762719,0.04395631028393792,0.05520475605164178,1.0,0.033351356598084116,0.06254267670477343,
doc19,0.011065121973326023,0.019631185055862473,0.02075462994108809,0.021819993553985395,0.027764189458094155,0.03155390324779154,0.01824652266862093,0.013170048917275655,0.017186952375806936,0.004936148714677073,0.046858289313734446,0.020219668874186254,0.0134774379126737,0.015190737947726816,0.013741665600310132,0.029059287251566274,0.020188742016044127,0.033351356598084116,1.0,0.04546777906304555,
doc20,0.04181812373299466,0.0466579581295514,0.0630546785130708,0.047659980505187056,0.10720760566541415,0.04697374106040099,0.0533108724309122,0.03117996996942933,0.021223648311125554,0.016722922577963907,0.3055828969798965,0.0687988922338694,0.035428097847007824,0.028491987835019484,0.02361898407778581,0.03424090136596537,0.022021756603491288,0.06254267670477343,0.04546777906304555,1.0000000000000002,
